criteria;NbTrees;NbEspeces;percent;Kreal;Ktrouve;|Ktrouve-Kreal|;|Ktrouve-Kreal|/max(Ktrouve,Kreal));T;RI;ARI;Score;Partition trouve;Partition Ref;Time;
EuCH;36;?;?;?;0;0;-nan;1;1.000;1.000;-10000000000.000;part(0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;21;?;?;?;10;10;1.000;0;0.086;0.000;1.904;part(6 <> 1 <> 4 <> 10 <> 2 <> 8 <> 4 <> 2 <> 5 <> 7 <> 4 <> 2 <> 2 <> 9 <> 2 <> 9 <> 8 <> 6 <> 10 <> 3 <> 5 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;21;?;?;?;4;4;1.000;0;0.262;0.000;1.554;part(2 <> 4 <> 3 <> 4 <> 3 <> 1 <> 3 <> 4 <> 2 <> 1 <> 4 <> 2 <> 4 <> 2 <> 4 <> 2 <> 1 <> 4 <> 4 <> 4 <> 3 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;34;?;?;?;4;4;1.000;0;0.266;0.000;-4.369;part(4 <> 2 <> 4 <> 1 <> 4 <> 4 <> 4 <> 4 <> 2 <> 1 <> 2 <> 3 <> 3 <> 1 <> 2 <> 4 <> 2 <> 4 <> 1 <> 1 <> 3 <> 4 <> 4 <> 1 <> 3 <> 4 <> 4 <> 1 <> 3 <> 2 <> 1 <> 4 <> 3 <> 4 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;35;?;?;?;4;4;1.000;0;0.289;0.000;-5.210;part(4 <> 4 <> 2 <> 3 <> 4 <> 3 <> 2 <> 3 <> 4 <> 4 <> 1 <> 4 <> 1 <> 4 <> 4 <> 2 <> 4 <> 4 <> 2 <> 3 <> 4 <> 2 <> 4 <> 3 <> 3 <> 2 <> 4 <> 4 <> 1 <> 1 <> 4 <> 3 <> 2 <> 4 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;36;?;?;?;4;4;1.000;0;0.244;0.000;-5.583;part(3 <> 4 <> 1 <> 2 <> 3 <> 3 <> 3 <> 1 <> 4 <> 1 <> 4 <> 1 <> 4 <> 1 <> 2 <> 1 <> 2 <> 4 <> 2 <> 2 <> 3 <> 3 <> 1 <> 3 <> 3 <> 2 <> 2 <> 1 <> 3 <> 1 <> 3 <> 3 <> 2 <> 1 <> 3 <> 4 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;36;?;?;?;10;10;1.000;0;0.222;0.000;-0.873;part(3 <> 1 <> 10 <> 10 <> 3 <> 10 <> 3 <> 9 <> 7 <> 3 <> 5 <> 10 <> 3 <> 3 <> 1 <> 6 <> 10 <> 7 <> 10 <> 3 <> 3 <> 10 <> 10 <> 10 <> 4 <> 8 <> 10 <> 3 <> 10 <> 3 <> 10 <> 8 <> 10 <> 10 <> 2 <> 5 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;36;?;?;?;0;0;-nan;1;1.000;1.000;-10000000000.000;part(0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;36;?;?;?;0;0;-nan;1;1.000;1.000;-10000000000.000;part(0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;36;?;?;?;0;0;-nan;1;1.000;1.000;-10000000000.000;part(0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 <> 0 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );0.000;
