criteria;NbTrees;NbEspeces;percent;Kreal;Ktrouve;|Ktrouve-Kreal|;|Ktrouve-Kreal|/max(Ktrouve,Kreal));T;RI;ARI;Score;Partition trouve;Partition Ref;Time;
EuCH;36;?;?;?;2;2;1.000;0;0.543;0.000;1448.268;part(1 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );72.000;
EuCH;36;?;?;?;2;2;1.000;0;0.543;0.000;1448.268;part(1 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );72.000;
EuCH;36;?;?;?;2;2;1.000;0;0.543;0.000;1448.268;part(1 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );72.000;
EuCH;36;?;?;?;10;10;1.000;0;0.086;0.000;7.675;part(10 <> 3 <> 8 <> 7 <> 1 <> 6 <> 1 <> 4 <> 8 <> 4 <> 3 <> 6 <> 2 <> 4 <> 8 <> 10 <> 4 <> 8 <> 5 <> 5 <> 1 <> 5 <> 6 <> 1 <> 4 <> 7 <> 5 <> 10 <> 2 <> 1 <> 2 <> 1 <> 7 <> 9 <> 6 <> 9 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );72.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;9.202;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );72.000;
EuCH;6;?;?;?;3;3;1.000;0;0.200;0.000;32.732;part(2 <> 3 <> 1 <> 2 <> 3 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;6;?;?;?;3;3;1.000;0;0.200;0.000;32.732;part(2 <> 3 <> 1 <> 2 <> 3 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 );2.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;9.202;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );202.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;9.202;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );9.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;9.202;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );9.000;
EuCH;36;?;?;?;20;20;1.000;0;0.032;0.000;33.422;part(5 <> 19 <> 12 <> 4 <> 5 <> 15 <> 20 <> 17 <> 4 <> 10 <> 19 <> 12 <> 1 <> 10 <> 14 <> 6 <> 4 <> 12 <> 7 <> 13 <> 20 <> 15 <> 2 <> 20 <> 3 <> 8 <> 7 <> 2 <> 1 <> 13 <> 1 <> 8 <> 18 <> 16 <> 11 <> 9 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );9.000;
EuCH;36;?;?;?;10;10;1.000;0;0.086;0.000;7.675;part(10 <> 3 <> 8 <> 7 <> 1 <> 6 <> 1 <> 4 <> 8 <> 4 <> 3 <> 6 <> 2 <> 4 <> 8 <> 10 <> 4 <> 8 <> 5 <> 5 <> 1 <> 5 <> 6 <> 1 <> 4 <> 7 <> 5 <> 10 <> 2 <> 1 <> 2 <> 1 <> 7 <> 9 <> 6 <> 9 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
EuCH;36;?;?;?;18;18;1.000;0;0.037;0.000;19.118;part(8 <> 12 <> 11 <> 3 <> 8 <> 4 <> 16 <> 18 <> 1 <> 10 <> 6 <> 11 <> 9 <> 10 <> 1 <> 17 <> 10 <> 11 <> 15 <> 7 <> 16 <> 5 <> 4 <> 3 <> 16 <> 14 <> 5 <> 18 <> 9 <> 7 <> 9 <> 14 <> 2 <> 13 <> 4 <> 6 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );9.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;9.202;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );9.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;8.252;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );9.000;
EuCH;36;?;?;?;18;18;1.000;0;0.038;0.000;11.834;part(10 <> 18 <> 14 <> 17 <> 10 <> 12 <> 9 <> 3 <> 8 <> 13 <> 7 <> 14 <> 2 <> 13 <> 8 <> 11 <> 13 <> 14 <> 4 <> 1 <> 6 <> 5 <> 6 <> 17 <> 6 <> 9 <> 1 <> 3 <> 2 <> 9 <> 2 <> 12 <> 15 <> 16 <> 12 <> 7 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
EuCH;36;?;?;?;18;18;1.000;0;0.037;0.000;8.204;part(5 <> 13 <> 17 <> 11 <> 5 <> 15 <> 6 <> 3 <> 12 <> 9 <> 13 <> 10 <> 10 <> 12 <> 14 <> 7 <> 9 <> 10 <> 18 <> 2 <> 6 <> 17 <> 2 <> 1 <> 6 <> 11 <> 2 <> 3 <> 4 <> 9 <> 4 <> 15 <> 8 <> 16 <> 15 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );9.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;7.872;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );9.000;
EuCH;36;?;?;?;2;2;1.000;0;0.486;0.000;10.398;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 2 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;7.761;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );9.000;
EuCH;36;?;?;?;18;18;1.000;0;0.037;0.000;7.939;part(4 <> 1 <> 8 <> 11 <> 4 <> 3 <> 7 <> 16 <> 11 <> 17 <> 1 <> 2 <> 2 <> 17 <> 5 <> 6 <> 11 <> 2 <> 13 <> 15 <> 5 <> 8 <> 5 <> 10 <> 9 <> 7 <> 13 <> 16 <> 12 <> 7 <> 12 <> 3 <> 18 <> 14 <> 3 <> 10 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
EuCH;36;?;?;?;18;18;1.000;0;0.037;0.000;19.118;part(8 <> 12 <> 11 <> 3 <> 8 <> 4 <> 16 <> 18 <> 1 <> 10 <> 6 <> 11 <> 9 <> 10 <> 1 <> 17 <> 10 <> 11 <> 15 <> 7 <> 16 <> 5 <> 4 <> 3 <> 16 <> 14 <> 5 <> 18 <> 9 <> 7 <> 9 <> 14 <> 2 <> 13 <> 4 <> 6 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
EuCH;36;?;?;?;10;10;1.000;0;0.086;0.000;7.675;part(10 <> 3 <> 8 <> 7 <> 1 <> 6 <> 1 <> 4 <> 8 <> 4 <> 3 <> 6 <> 2 <> 4 <> 8 <> 10 <> 4 <> 8 <> 5 <> 5 <> 1 <> 5 <> 6 <> 1 <> 4 <> 7 <> 5 <> 10 <> 2 <> 1 <> 2 <> 1 <> 7 <> 9 <> 6 <> 9 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
EuCH;36;?;?;?;10;10;1.000;0;0.084;0.000;6.037;part(2 <> 8 <> 6 <> 9 <> 5 <> 1 <> 5 <> 1 <> 6 <> 2 <> 10 <> 8 <> 7 <> 2 <> 6 <> 4 <> 2 <> 6 <> 3 <> 3 <> 5 <> 1 <> 4 <> 9 <> 2 <> 5 <> 3 <> 4 <> 7 <> 5 <> 7 <> 5 <> 9 <> 10 <> 1 <> 10 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
EuCH;36;?;?;?;10;10;1.000;0;0.094;0.000;9.864;part(6 <> 9 <> 3 <> 5 <> 6 <> 7 <> 4 <> 3 <> 2 <> 4 <> 9 <> 1 <> 4 <> 2 <> 2 <> 3 <> 2 <> 2 <> 7 <> 6 <> 4 <> 7 <> 3 <> 5 <> 4 <> 5 <> 9 <> 3 <> 4 <> 4 <> 1 <> 10 <> 10 <> 8 <> 8 <> 9 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );7.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;9.202;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
EuCH;36;?;?;?;2;2;1.000;0;0.487;0.000;9.202;part(1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 1 <> 2 <> 2 <> 1 <> 2 <> 1 <> 1 <> 2 <> 2 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
W;36;?;?;?;1;1;1.000;0;1.000;1.000;15.053;part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
W;36;?;?;?;1;1;1.000;0;1.000;1.000;15.053;part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
W;36;?;?;?;1;1;1.000;0;1.000;1.000;15.053;part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
W;36;?;?;?;1;1;1.000;0;1.000;1.000;15.053;part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
W;36;?;?;?;10;10;1.000;0;0.233;0.000;0.154;part(4 <> 10 <> 7 <> 10 <> 9 <> 8 <> 10 <> 5 <> 7 <> 10 <> 10 <> 1 <> 1 <> 5 <> 3 <> 10 <> 10 <> 7 <> 10 <> 10 <> 2 <> 8 <> 6 <> 10 <> 10 <> 10 <> 4 <> 6 <> 3 <> 10 <> 10 <> 9 <> 10 <> 10 <> 2 <> 10 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
W;36;?;?;?;10;10;1.000;0;0.233;0.000;0.154;part(4 <> 10 <> 7 <> 10 <> 9 <> 8 <> 10 <> 5 <> 7 <> 10 <> 10 <> 1 <> 1 <> 5 <> 3 <> 10 <> 10 <> 7 <> 10 <> 10 <> 2 <> 8 <> 6 <> 10 <> 10 <> 10 <> 4 <> 6 <> 3 <> 10 <> 10 <> 9 <> 10 <> 10 <> 2 <> 10 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
W;36;?;?;?;10;10;1.000;0;0.233;0.000;0.154;part(4 <> 10 <> 7 <> 10 <> 9 <> 8 <> 10 <> 5 <> 7 <> 10 <> 10 <> 1 <> 1 <> 5 <> 3 <> 10 <> 10 <> 7 <> 10 <> 10 <> 2 <> 8 <> 6 <> 10 <> 10 <> 10 <> 4 <> 6 <> 3 <> 10 <> 10 <> 9 <> 10 <> 10 <> 2 <> 10 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );7.000;
W;36;?;?;?;10;10;1.000;0;0.233;0.000;0.154;part(4 <> 10 <> 7 <> 10 <> 9 <> 8 <> 10 <> 5 <> 7 <> 10 <> 10 <> 1 <> 1 <> 5 <> 3 <> 10 <> 10 <> 7 <> 10 <> 10 <> 2 <> 8 <> 6 <> 10 <> 10 <> 10 <> 4 <> 6 <> 3 <> 10 <> 10 <> 9 <> 10 <> 10 <> 2 <> 10 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
W;36;?;?;?;1;1;1.000;0;1.000;1.000;-10000000000.000;part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );8.000;
